,tau?,xMax?,yMin?
905,60,5.375,9.5
906,60,5.03125,4.6875
907,60,5.71875,4.6875
908,60,5.03125,4.6875
909,60,5.03125,4.6875
910,60,10.875,10.1875
911,60,5.03125,9.5
912,60,5.03125,4.6875
913,60,5.375,4.6875
914,60,5.03125,4.6875
915,60,5.375,4.6875
916,60,5.71875,4.6875
917,60,5.03125,4.6875
918,60,13.28125,4.6875
919,60,5.03125,4.6875
920,60,5.375,4.6875
921,60,5.375,9.15625
922,60,5.03125,4.6875
923,60,5.03125,4.6875
924,60,5.03125,4.6875
925,60,5.03125,4.6875
926,60,5.03125,4.6875
927,60,10.875,11.5625
928,60,14.3125,6.0625
929,60,5.71875,4.6875
930,60,5.375,4.6875
931,60,5.03125,4.6875
932,60,11.21875,9.84375
933,60,5.375,4.6875
934,60,5.03125,4.6875
935,60,5.03125,4.6875
936,60,5.03125,4.6875
937,60,5.03125,4.6875
938,60,5.375,4.6875
939,60,5.03125,4.6875
940,60,10.53125,10.53125
941,60,5.71875,4.6875
942,60,5.03125,4.6875
943,60,5.03125,4.6875
944,60,5.375,9.84375
945,60,5.375,4.6875
946,60,5.03125,4.6875
947,60,5.03125,4.6875
948,60,5.375,4.6875
949,60,11.5625,9.84375
950,60,5.03125,4.6875
951,60,5.03125,4.6875
952,60,10.53125,8.8125
953,60,5.71875,4.6875
954,60,5.03125,4.6875
955,60,5.375,5.03125
956,60,11.21875,9.84375
957,60,13.625,6.0625
958,60,5.03125,4.6875
959,60,11.90625,9.5
960,60,5.375,4.6875
961,60,5.03125,4.6875
962,60,5.375,4.6875
963,60,5.375,4.6875
964,60,5.03125,4.6875
965,60,8.8125,12.25
966,60,5.03125,4.6875
967,60,13.625,6.0625
968,60,5.03125,4.6875
969,60,10.875,10.1875
970,60,7.78125,4.6875
971,60,5.375,4.6875
972,60,8.8125,4.6875
973,60,5.03125,4.6875
974,60,5.03125,4.6875
975,60,5.03125,4.6875
976,60,5.03125,5.03125
977,60,5.03125,4.6875
978,60,5.03125,4.6875
979,60,5.375,4.6875
980,60,9.5,10.1875
981,60,5.71875,4.6875
982,60,5.03125,4.6875
983,60,10.53125,4.6875
984,60,10.875,11.5625
985,60,11.21875,4.6875
986,60,5.03125,4.6875
987,60,5.03125,4.6875
988,60,5.375,4.6875
989,60,5.375,4.6875
990,60,11.21875,4.6875
991,60,5.03125,4.6875
992,60,14.3125,4.6875
993,60,10.875,10.1875
994,60,5.375,4.6875
995,60,5.71875,4.6875
996,60,5.375,4.6875
997,60,5.03125,4.6875
998,60,5.71875,4.6875
999,60,5.03125,4.6875
1000,60,8.8125,6.40625
1001,60,5.71875,4.6875
1002,60,5.375,10.1875
1003,60,11.21875,4.6875
1004,60,5.375,4.6875
1005,60,5.375,4.6875
1006,60,5.03125,4.6875
1007,60,5.03125,4.6875
1008,60,5.375,4.6875
1009,60,5.375,4.6875
1010,60,5.03125,4.6875
1011,60,10.875,11.5625
1012,60,5.03125,4.6875
1013,60,5.03125,4.6875
1014,60,11.21875,4.6875
1015,60,5.03125,4.6875
1016,60,5.03125,4.6875
1017,60,5.375,9.15625
1018,60,5.375,4.6875
1019,60,5.03125,4.6875
